id,brand,car_model,type,desc,problem,datetime,status
573954,上汽大众斯柯达,速派,2016款 TSI330 DSG 智行版,斯柯达速派变速箱机电控制单元出现故障,"B84,",2021-02-23,信息审核
573953,东风日产,轩逸,2016款 1.6XL 手动 豪华版 经典,东风日产轩逸发动机容易熄火希望厂家处理,"A14,",2021-02-23,信息审核
573951,华晨宝马,宝马3系,2018款 320Li 领先型M运动套装,华晨宝马3系车身出现共振和抖动一直未解决,"H268,",2021-02-23,信息审核
573950,奇瑞捷豹路虎,发现神行,2016款 2.0T SE,奇瑞捷豹路虎发现神行冷却水箱漏水,"A37,",2021-02-23,厂家受理
573948,广汽丰田,凯美瑞,2010款 240G 2.4 自动 豪华版,广汽丰田凯美瑞仪表台老化发粘而且有异味,"H185,H176,",2021-02-23,信息审核
573944,东风日产,天籁,2019款 2.0T XV 智尊版,东风日产天籁车机互联功能无法使用,"M279,",2021-02-23,信息审核
573938,长安福特,翼虎,2015款 2.0L GTDi 四驱尊贵型 5座,长安福特翼虎经销商向厂家反馈情况不属实,"J299,",2021-02-23,信息审核
573937,福田汽车,奥铃,2007款 BJ5049V8CEA-KA4,福田奥铃发动机内部螺栓脱落导致发动机损坏,"A136,A145,",2021-02-23,信息审核
573935,东风日产,轩逸,2021款 经典 1.6 XL 手动 豪华版,东风日产轩逸购买保养服务希望退款,"K308,",2021-02-23,信息审核
573934,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200时尚型,长安福特蒙迪欧变速箱漏油希望处理,"B22,",2021-02-23,信息审核
573930,上汽大众,途观L,2021款 330TSI 自动 两驱 R-Line越享版,上汽大众途观L变速箱拖挡希望处理,"B69,",2021-02-23,信息审核
573929,广汽丰田,YARiS L 致享,2019款 1.5E CVT魅动版 国VI,广汽丰田致享高速行驶时方向盘无法回正,"D154,",2021-02-23,信息审核
573928,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧进气岐管有机油希望解决,"A12,",2021-02-23,信息审核
573925,东风日产,轩逸,2016款 1.6XL CVT 尊享版,东风日产轩逸变速箱传感器开关故障故障灯亮,"B96,",2021-02-23,信息审核
573922,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速箱异响 无法加速,"B33,B334,",2021-02-23,信息审核
573919,东风本田,思铂睿,2013款 2.4L 自动 豪华版,本田思铂睿内饰板脱胶鼓包天窗内部框架生锈,"H79,H168,",2021-02-23,信息审核
573918,吉利汽车,远景X6,2016款 1.3T CVT 豪华型,吉利远景X6变速箱故障报警4S店不予索赔,"B96,I297,",2021-02-23,厂家受理
573917,一汽-大众,迈腾,2018款 330TSI 领先型,一汽大众迈腾变速器机电单元故障,"B115,",2021-02-23,信息审核
573915,长安福特,金牛座,2019款 EcoBoost 245 Vignale臻享版,长安福特金牛座保养时螺丝未拧紧 物品丢失,"I295,J299,",2021-02-23,信息审核
573913,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞导致油耗增高,"A85,A114,",2021-02-23,信息审核
573912,北京现代,北京现代ix35,2013款 2.0L 自动 两驱 智能型GLS 国IV,北京现代ix35发动机拉缸冷车时存在异响,"A9,A329,",2021-02-23,信息审核
573911,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂影响驾驶安全	,"F100,",2021-02-23,信息审核
573908,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 进取型 国V,一汽大众T-ROC探歌离合器无法断开,"C65,C267,M283,",2021-02-23,信息审核
573905,长安铃木,维特拉,2016款 1.4T 自动 两驱 豪华型,长安铃木维特拉多功能方向盘按键失灵,"H134,",2021-02-23,信息审核
573904,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱故障换挡混乱,"B96,B334,",2021-02-23,信息审核
573897,BEIJING汽车,E系列,2013款 1.5L 手动 乐天版 三厢,BEIJING汽车E系列离合器处防火墙出现断裂,"C267,H168,",2021-02-23,信息审核
573896,长安汽车,逸动XT,2013款 1.5T 自动 劲酷型 XT,长安逸动XT发动机出现油耗增高,"A85,",2021-02-23,信息审核
